Account;nTweets;pHashtags;pMentions;pURLs;pMedia;pRTs;date
bonappetit;24;0.0;0.0417;0.75;0.25;0.0;2018-02-24
NatGeoFood;0;0.0;0.0;0.0;0.0;0.0;2018-02-24
TwitterFood;0;0.0;0.0;0.0;0.0;0.0;2018-02-24
Fooddotcom;0;0.0;0.0;0.0;0.0;0.0;2018-02-24
newfoodeconomy;5;0.0;0.0;1.0;0.2;0.0;2018-02-24
bflay;0;0.0;0.0;0.0;0.0;0.0;2018-02-24
RealCarrotFacts;0;0.0;0.0;0.0;0.0;0.0;2018-02-24
NYTFood;3;0.0;0.0;1.0;0.6667;0.0;2018-02-24
CivilEats;8;0.0;0.5;0.875;0.25;0.375;2018-02-24
Seriouseats;6;0.0;0.1667;1.0;0.0;0.0;2018-02-24
RealCapnCrunch;0;0.0;0.0;0.0;0.0;0.0;2018-02-24
iowagirleats;1;0.0;0.0;1.0;1.0;0.0;2018-02-24
spoonuniversity;0;0.0;0.0;0.0;0.0;0.0;2018-02-24
foodandwine;60;0.0;0.05;0.9333;0.9167;0.0;2018-02-24
epicurious;15;0.0;0.0;1.0;0.1333;0.0;2018-02-24
Newsweek;84;0.0238;0.0;1.0;0.7976;0.0;2018-02-24
nytimes;101;0.0;0.1386;0.9009999999999999;0.0495;0.1188;2018-02-24
NBCNews;68;0.0588;0.2941;0.8088;0.0735;0.1324;2018-02-24
CNN;84;0.0357;0.0833;1.0;0.3929;0.0;2018-02-24
washingtonpost;82;0.0;0.0122;0.9878;0.0;0.0122;2018-02-24
BBCWorld;34;0.0882;0.1765;0.8529;0.0294;0.1765;2018-02-24
WSJ;72;0.0;0.0972;1.0;0.0139;0.0;2018-02-24
FoxNews;231;0.1429;0.5671;0.8182;0.316;0.0087;2018-02-24
ABC;87;0.0;0.0;1.0;0.1494;0.0;2018-02-24
Reuters;239;0.0293;0.1883;1.0;0.6987;0.0;2018-02-24
el_pais;162;0.0864;0.3086;0.8827;0.0247;0.1975;2018-02-24
abc_es;147;0.1429;0.1224;0.9932;0.0612;0.0476;2018-02-24
