Account;2018-02-24;2018-02-25;2018-02-26;2018-02-27;2018-02-28;2018-03-01;2018-03-02;2018-03-03;2018-03-04;2018-03-05;2018-03-06;2018-03-07;2018-03-08;2018-03-09;2018-03-10;2018-03-11;2018-03-12;2018-03-13;2018-03-14;2018-03-15;2018-03-16;2018-03-17;2018-03-18;2018-03-19;2018-03-20;2018-03-21;2018-03-22;2018-03-23;2018-03-24;2018-03-25;2018-03-26;2018-03-27;2018-03-28;2018-03-29;2018-03-30;2018-03-31;2018-04-01;2018-04-02
bonappetit;24;22;24;19;25;25;26;20;23;21;27;25;31;24;25;23;26;25;28;26;24;25;23;23;24;26;23;30;24;24;26;22;23;25;24;25;24;29
NatGeoFood;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TwitterFood;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;0;0;0;1;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0
Fooddotcom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
newfoodeconomy;5;5;11;12;14;8;11;5;6;13;10;13;10;13;5;7;10;10;11;12;8;6;5;9;13;12;10;9;7;5;11;12;15;11;7;6;5;8
bflay;0;0;1;0;0;0;1;3;1;0;1;0;3;0;0;2;0;0;0;1;0;0;3;1;0;0;2;0;0;0;2;1;2;1;1;0;0;1
RealCarrotFacts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NYTFood;3;2;4;4;7;7;8;6;7;3;4;3;3;5;5;2;4;4;3;5;8;8;6;6;5;7;6;5;6;6;9;6;3;10;6;5;4;4
CivilEats;8;8;15;17;15;15;15;8;8;15;16;14;15;15;8;8;17;15;15;17;17;8;8;15;17;15;15;18;8;8;16;16;15;16;18;8;8;14
Seriouseats;6;6;7;7;7;8;9;6;5;7;7;7;8;5;6;0;7;8;8;7;9;7;6;8;10;8;6;8;7;6;9;7;8;7;6;5;6;5
RealCapnCrunch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
iowagirleats;1;1;1;1;2;1;1;2;1;1;1;1;1;1;2;1;1;0;2;2;1;2;1;1;2;2;1;1;2;1;1;1;2;1;1;2;1;1
spoonuniversity;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
foodandwine;60;72;89;93;92;90;92;68;63;92;95;90;67;70;38;32;61;93;94;92;94;72;69;81;93;90;87;91;69;72;84;94;87;88;95;75;66;100
epicurious;15;16;16;16;17;16;17;15;16;15;16;16;17;16;17;16;16;15;14;16;15;16;16;15;16;16;15;16;15;16;15;16;16;17;16;16;16;12
Newsweek;84;73;99;100;110;123;134;93;96;109;104;115;119;108;71;75;119;129;120;129;104;92;74;124;140;140;135;114;90;75;122;130;135;136;140;87;86;111
nytimes;101;108;110;114;112;112;101;100;154;117;105;117;116;99;96;103;112;117;124;106;107;105;103;111;125;116;109;105;107;107;107;111;100;115;128;99;114;125
NBCNews;68;59;110;137;129;133;126;56;91;138;171;157;151;120;58;73;143;169;162;136;132;61;65;141;157;142;135;129;100;69;124;129;136;135;103;49;69;100
CNN;84;115;178;173;167;131;115;70;138;166;199;195;174;192;83;110;190;191;171;157;164;83;98;193;181;180;167;159;106;89;195;219;163;171;150;67;88;179
washingtonpost;82;80;134;172;154;168;145;75;102;160;186;162;133;153;55;75;142;196;165;141;136;83;73;158;168;164;173;156;112;76;124;155;166;151;115;68;63;133
BBCWorld;34;34;59;66;71;58;41;34;62;57;73;48;68;41;32;31;66;80;65;71;53;32;26;51;62;50;62;36;31;40;65;72;57;64;43;37;38;37
WSJ;72;107;119;145;144;137;129;71;93;132;140;139;133;130;67;87;127;126;125;136;117;69;96;129;139;126;150;114;65;85;126;114;123;125;110;79;84;107
FoxNews;231;272;199;205;244;268;225;212;262;189;202;264;293;208;230;285;206;235;281;285;181;222;270;180;194;245;252;214;238;249;183;205;230;278;215;215;237;198
ABC;87;64;121;113;112;144;142;70;189;146;145;132;140;130;57;80;129;177;154;138;117;64;78;128;142;122;133;128;105;68;108;120;127;121;114;70;72;114
Reuters;239;262;352;367;368;410;376;274;291;349;361;386;361;334;227;218;314;380;368;308;329;240;232;330;348;369;371;327;230;246;346;288;274;288;203;202;200;219
el_pais;162;165;227;223;219;205;186;164;256;189;204;178;287;170;155;174;216;223;207;204;229;181;184;211;208;226;246;261;218;221;198;194;234;230;179;155;150;186
abc_es;147;143;181;160;187;210;160;133;138;161;187;178;151;177;135;119;170;178;182;183;175;119;113;184;202;205;184;180;121;111;155;181;187;141;132;131;128;174
antena3com;77;86;134;122;137;122;110;76;66;115;110;94;102;95;75;88;98;117;118;99;99;58;67;95;112;112;104;97;98;72;102;101;76;71;87;72;69;99
noticias_cuatro;84;86;84;86;82;89;89;90;91;88;77;81;64;80;84;70;77;78;74;91;87;91;81;80;78;80;97;96;98;82;88;86;78;59;60;80;85;74
24h_tve;123;132;69;75;82;84;101;138;162;125;112;123;83;115;112;160;123;115;127;119;106;142;123;124;118;98;98;125;141;157;97;94;63;31;38;28;22;99
ecosdelbalon;4;5;11;13;13;16;4;4;8;10;22;6;12;4;7;1;8;5;5;4;9;1;4;9;4;3;2;2;1;1;5;5;1;0;1;3;2;6
NYT4thDownBot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
baseballpro;3;7;25;30;24;26;27;1;8;21;20;23;28;26;13;7;20;27;23;24;29;9;5;23;21;22;23;24;9;6;16;20;20;31;20;4;2;20
FutbolAvanzado;2;2;10;8;5;3;1;2;2;5;2;6;4;2;2;4;9;9;7;9;5;5;6;5;4;6;9;2;0;1;4;4;6;6;3;2;3;6
NBA;138;125;111;124;127;122;147;119;88;90;140;117;131;153;101;120;94;130;134;117;111;100;73;142;126;138;88;134;91;103;83;109;117;88;96;162;147;44
LaLiga;58;69;24;44;55;41;26;51;56;23;23;14;24;27;54;44;23;23;29;23;30;47;78;19;15;15;16;17;17;18;17;13;17;16;23;67;61;25
AnalyseSport;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Olympics;54;47;1;0;1;0;1;1;0;1;1;0;7;3;0;0;2;2;2;3;4;1;1;1;3;2;2;4;0;0;1;4;2;2;1;0;1;1
wizard_cfc;37;11;14;14;22;18;21;41;47;21;26;27;12;17;42;43;9;12;16;13;25;50;23;9;32;9;6;33;51;43;3;17;29;36;34;38;28;23
ThatGuyTipsterr;22;41;18;31;36;20;19;83;40;39;33;28;34;28;6;31;10;23;39;2;50;31;34;17;29;17;22;31;53;34;23;29;27;31;45;43;61;29
moneyballfutbol;4;5;2;5;4;3;2;2;7;3;0;2;3;0;1;5;2;4;4;4;0;4;2;0;0;0;0;0;0;0;0;0;0;1;1;2;1;2
Multi_Apuesta;4;5;8;7;8;2;4;4;2;8;8;6;6;8;1;6;3;7;3;6;10;21;5;7;3;8;15;1;6;11;2;3;0;1;1;1;1;3
AP_Sports;68;85;21;24;48;52;62;92;89;69;74;80;77;64;82;68;70;71;75;82;70;72;64;52;56;89;91;82;24;37;64;45;52;77;26;37;33;61
sportbible;45;48;28;32;38;39;28;44;26;41;39;50;38;30;42;31;38;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0;23;30;28;22;73;39;30
SportsCenter;30;17;20;23;24;25;21;28;23;18;28;30;22;29;25;22;17;24;21;47;24;25;20;15;17;28;26;23;23;15;20;16;22;33;21;24;20;24
