Account;nTweets;pHashtags;pMentions;pURLs;pMedia;pRTs;date;Followers
bonappetit;24;0.0;0.0417;0.75;0.25;0.0;2018-02-24;3191547.0
NatGeoFood;0;0.0;0.0;0.0;0.0;0.0;2018-02-24;35479.0
TwitterFood;0;0.0;0.0;0.0;0.0;0.0;2018-02-24;838307.0
Fooddotcom;0;0.0;0.0;0.0;0.0;0.0;2018-02-24;28.0
newfoodeconomy;5;0.0;0.0;1.0;0.2;0.0;2018-02-24;5905.0
bflay;0;0.0;0.0;0.0;0.0;0.0;2018-02-24;2693394.0
RealCarrotFacts;0;0.0;0.0;0.0;0.0;0.0;2018-02-24;221966.0
NYTFood;3;0.0;0.0;1.0;0.6667;0.0;2018-02-24;1419095.0
CivilEats;8;0.0;0.5;0.875;0.25;0.375;2018-02-24;92072.0
Seriouseats;6;0.0;0.1667;1.0;0.0;0.0;2018-02-24;803718.0
RealCapnCrunch;0;0.0;0.0;0.0;0.0;0.0;2018-02-24;41672.0
iowagirleats;1;0.0;0.0;1.0;1.0;0.0;2018-02-24;15301.0
spoonuniversity;0;0.0;0.0;0.0;0.0;0.0;2018-02-24;17204.0
foodandwine;60;0.0;0.05;0.9333;0.9167;0.0;2018-02-24;6667458.0
epicurious;15;0.0;0.0;1.0;0.1333;0.0;2018-02-24;2795854.0
Newsweek;84;0.0238;0.0;1.0;0.7976;0.0;2018-02-24;3419339.0
nytimes;101;0.0;0.1386;0.9009999999999999;0.0495;0.1188;2018-02-24;41211361.0
NBCNews;68;0.0588;0.2941;0.8088;0.0735;0.1324;2018-02-24;5865131.0
CNN;84;0.0357;0.0833;1.0;0.3929;0.0;2018-02-24;39514352.0
washingtonpost;82;0.0;0.0122;0.9878;0.0;0.0122;2018-02-24;12140803.0
BBCWorld;34;0.0882;0.1765;0.8529;0.0294;0.1765;2018-02-24;22697796.0
WSJ;72;0.0;0.0972;1.0;0.0139;0.0;2018-02-24;15559972.0
FoxNews;231;0.1429;0.5671;0.8182;0.316;0.0087;2018-02-24;17264428.0
ABC;87;0.0;0.0;1.0;0.1494;0.0;2018-02-24;13519485.0
Reuters;239;0.0293;0.1883;1.0;0.6987;0.0;2018-02-24;19406112.0
el_pais;162;0.0864;0.3086;0.8827;0.0247;0.1975;2018-02-24;6568175.0
abc_es;147;0.1429;0.1224;0.9932;0.0612;0.0476;2018-02-24;1518714.0
antena3com;77;0.4805;0.7792;0.6623;0.039;0.3766;2018-02-24;1354272.0
noticias_cuatro;84;0.131;0.0833;0.9881;0.7976;0.0;2018-02-24;799722.0
24h_tve;123;0.4878;0.8211;0.4959;0.1463;0.5285;2018-02-24;1262264.0
ecosdelbalon;4;0.25;0.75;0.75;0.0;0.25;2018-02-24;38430.0
NYT4thDownBot;0;0.0;0.0;0.0;0.0;0.0;2018-02-24;25979.0
