;Account;NumberOfFollowers;Date
0;bonappetit;3187723;11/02/2018
1;NatGeoFood;35330;11/02/2018
2;TwitterFood;838066;11/02/2018
3;Fooddotcom;27;11/02/2018
4;newfoodeconomy;5806;11/02/2018
5;bflay;2681626;11/02/2018
6;RealCarrotFacts;222427;11/02/2018
7;NYTFood;1418944;11/02/2018
8;CivilEats;91724;11/02/2018
9;Seriouseats;802264;11/02/2018
10;RealCapnCrunch;41655;11/02/2018
11;iowagirleats;15304;11/02/2018
12;spoonuniversity;17197;11/02/2018
13;foodandwine;6670708;11/02/2018
14;epicurious;2793373;11/02/2018
15;Newsweek;3416275;11/02/2018
16;nytimes;41107913;11/02/2018
17;NBCNews;5832061;11/02/2018
18;CNN;39401297;11/02/2018
19;washingtonpost;12070847;11/02/2018
20;BBCWorld;22604040;11/02/2018
21;WSJ;15514500;11/02/2018
22;FoxNews;17173031;11/02/2018
23;ABC;13454669;11/02/2018
24;Reuters;19374104;11/02/2018
25;el_pais;6554301;11/02/2018
26;abc_es;1513438;11/02/2018
27;antena3com;1352440;11/02/2018
28;noticias_cuatro;798000;11/02/2018
29;24h_tve;1259884;11/02/2018
30;ecosdelbalon;38154;11/02/2018
31;NYT4thDownBot;26045;11/02/2018
32;baseballpro;114065;11/02/2018
33;FutbolAvanzado;21955;11/02/2018
34;NBA;27295012;11/02/2018
35;LaLiga;3448107;11/02/2018
36;AnalyseSport;8565;11/02/2018
37;Olympics;5961572;11/02/2018
38;wizard_cfc;14301;11/02/2018
39;ThatGuyTipsterr;7075;11/02/2018
40;moneyballfutbol;2819;11/02/2018
41;Multi_Apuesta;49811;11/02/2018
42;AP_Sports;119334;11/02/2018
43;sportbible;1299560;11/02/2018
44;SportsCenter;35485692;11/02/2018
45;livefolk;201;11/02/2018
46;travel;6124748;11/02/2018
47;NatGeoTravel;6506841;11/02/2018
48;TravelLeisure;4013157;11/02/2018
49;Earth_Pics;8443891;11/02/2018
50;EarthPix;3000529;11/02/2018
51;frugaltraveler;517018;11/02/2018
52;nytimestravel;1138847;11/02/2018
53;BBC_Travel;979116;11/02/2018
54;TelegraphTravel;282749;11/02/2018
55;TravelMagazine;2777602;11/02/2018
56;CNTraveler;3170542;11/02/2018
57;ThatsEarth;1466346;11/02/2018
58;chicagoideas;39270;11/02/2018
59;ViajaEnElMundo;127527;11/02/2018
60;TheBlondeSalad;9915;11/02/2018
61;kenzo;318725;11/02/2018
62;voguemagazine;13668121;11/02/2018
63;BritishVogue;3602152;11/02/2018
64;ELLEmagazine;6849019;11/02/2018
65;Cosmopolitan;1726546;11/02/2018
66;Fashionista_com;2248526;11/02/2018
67;WhoWhatWear;2332915;11/02/2018
68;TheCut;1430069;11/02/2018
69;TimesFashion;2507877;11/02/2018
70;ELLEUK;1221647;11/02/2018
71;LondonFashionWk;1262846;11/02/2018
72;VictoriasSecret;11482481;11/02/2018
73;styleinmadrid;28534;11/02/2018
74;RevistaInStyle;31016;11/02/2018
75;Sephora;2377267;11/02/2018
76;CiudadanosCs;457281;11/02/2018
77;Bcnisnotcat_;47259;11/02/2018
78;AMI__cat;36823;11/02/2018
79;TheDemocrats;1421079;11/02/2018
80;epp;124786;11/02/2018
81;ahorapodemos;1319744;11/02/2018
82;CNNPolitics;2595595;11/02/2018
83;bpolitics;233501;11/02/2018
84;ABCPolitics;667726;11/02/2018
85;MSNBC;2003945;11/02/2018
86;latimes;3196674;11/02/2018
87;thehill;2964643;11/02/2018
88;vox_es;68923;11/02/2018
89;cope_es;339574;11/02/2018
90;OndaCero_es;492855;11/02/2018
91;UberFacts;14544505;11/02/2018
92;BuzzFeed;6422513;11/02/2018
93;SavedYouAClick;259460;11/02/2018
94;MoviePass;41932;11/02/2018
95;kalesalad;155625;11/02/2018
96;cuantocabron;210017;11/02/2018
97;ladbible;2030076;11/02/2018
98;mental_floss;646832;11/02/2018
99;elmundotoday;1151112;11/02/2018
100;Cabronazi;251237;11/02/2018
101;lavecinarubia;357848;11/02/2018
102;pourmecoffee;279530;11/02/2018
103;NFL_Memes;441743;11/02/2018
104;9GAG;14609343;11/02/2018
105;funnyordie;14385127;11/02/2018
106;netflix;4714736;11/02/2018
107;hbo;1914729;11/02/2018
108;FOXTV;1252848;11/02/2018
109;SonyPicsTeens;2993453;11/02/2018
110;Miramax;430117;11/02/2018
111;NBC;1783656;11/02/2018
112;La1_tve;529301;11/02/2018
113;laSextaTV;892683;11/02/2018
114;9gagtv;187593;11/02/2018
115;PrimeVideo;370899;11/02/2018
116;hulu;530572;11/02/2018
117;CBS;962960;11/02/2018
118;shows_tv;14278;11/02/2018
119;MarvelStudios;594150;11/02/2018
120;TwitterMovies;7192813;11/02/2018
121;policia;3117492;11/02/2018
122;CIA;2271869;11/02/2018
123;WhiteHouse;16598790;11/02/2018
124;casareal;822003;11/02/2018
125;nswpolice;152424;11/02/2018
126;guardiacivil;1176935;11/02/2018
127;DGTes;198233;11/02/2018
128;esa;820840;11/02/2018
129;NASA;28439810;11/02/2018
130;CERN;2560547;11/02/2018
131;EU_Commission;901250;11/02/2018
132;UN;10043995;11/02/2018
133;EUCouncil;308891;11/02/2018
134;ONU_es;933385;11/02/2018
135;UNICEF;7105693;11/02/2018
136;sockington;1422982;11/02/2018
137;Fascinatingpics;6356582;11/02/2018
138;shedancestibet;24008;11/02/2018
139;A_single_bear;111505;11/02/2018
140;BronxZoosCobra;159124;11/02/2018
141;MoveTheWorld;117553;11/02/2018
142;peta;1060523;11/02/2018
143;dodo;710757;11/02/2018
144;BuzzFeedAnimals;104402;11/02/2018
145;NationalZoo;419432;11/02/2018
146;fabulousanimals;1098714;11/02/2018
147;darth;115948;11/02/2018
148;EmrgencyKittens;6380472;11/02/2018
149;AnimalPlanet;1582528;11/02/2018
150;natgeowild;921996;11/02/2018
151;TEDTalks;10962156;11/02/2018
152;materia_ciencia;700210;11/02/2018
153;cienciaplus;386889;11/02/2018
154;WIREDScience;2096592;11/02/2018
155;ScienceMarchDC;356102;11/02/2018
156;sciencemagazine;1110569;11/02/2018
157;sciencemuseum;662211;11/02/2018
158;aaas;86132;11/02/2018
159;NSF;1086457;11/02/2018
160;PopSci;1260357;11/02/2018
161;scienceworldca;17067;11/02/2018
162;rdfrs;78569;11/02/2018
163;MarsCuriosity;3924023;11/02/2018
164;cienciatmx;23;11/02/2018
165;CdeCiencia;52214;11/02/2018
166;StockTwits;596613;11/02/2018
167;business;4597821;11/02/2018
168;1Brokercom;4511;11/02/2018
169;LSFinancial;15383;11/02/2018
170;TV_TradingIdeas;13487;11/02/2018
171;mytradingbuddy;85102;11/02/2018
172;HarvardBiz;5329488;11/02/2018
173;BabyPips;86203;11/02/2018
174;FTTradingRoom;23322;11/02/2018
175;TradingNation;16269;11/02/2018
176;BigCheds;29994;11/02/2018
177;DanielsTrading;6468;11/02/2018
178;canuck2usa;41805;11/02/2018
179;BourseetTrading;14611;11/02/2018
180;mytradingbuddy;85102;11/02/2018
181;tradingview;39771;11/02/2018
182;LSFinancial;15383;11/02/2018
183;TV_TradingIdeas;13487;11/02/2018
