Account;2018-02-11;2018-02-12;2018-02-13;2018-02-14;2018-02-15
bonappetit;3187723;3187464;3187274;3187123;3185897
NatGeoFood;35330;35345;35358;35365;35370
TwitterFood;838066;838115;838170;838213;838226
Fooddotcom;27;27;28;28;29
newfoodeconomy;5806;5815;5829;5829;5832
bflay;2681626;2682244;2683061;2683958;2684954
RealCarrotFacts;222427;222389;222356;222337;222309
NYTFood;1418944;1418901;1418875;1418864;1418827
CivilEats;91724;91770;91831;91865;91869
Seriouseats;802264;802454;802726;802787;802835
RealCapnCrunch;41655;41651;41653;41651;41644
iowagirleats;15304;15308;15305;15304;15303
spoonuniversity;17197;17197;17194;17190;17197
foodandwine;6670708;6669921;6669391;6669021;6667296
epicurious;2793373;2793432;2793603;2793716;2793748
Newsweek;3416275;3416505;3416657;3416761;3416886
nytimes;41107913;41114692;41122026;41129397;41136546
NBCNews;5832061;5833236;5834814;5836954;5838372
CNN;39401297;39407306;39414100;39423025;39431295
washingtonpost;12070847;12074776;12079516;12084044;12089610
BBCWorld;22604040;22609176;22615770;22622249;22628786
WSJ;15514500;15517579;15521202;15524293;15527587
FoxNews;17173031;17178254;17184287;17191134;17198574
ABC;13454669;13456536;13457631;13458924;13460333
Reuters;19374104;19376348;19379263;19382632;19385529
el_pais;6554301;6555279;6556416;6557240;6558249
abc_es;1513438;1513840;1514271;1514623;1515007
antena3com;1352440;1352604;1352739;1352876;1352974
noticias_cuatro;798000;798132;798265;798374;798463
24h_tve;1259884;1260055;1260276;1260442;1260598
ecosdelbalon;38154;38215;38280;38310;38333
NYT4thDownBot;26045;26042;26042;26031;26029
baseballpro;114065;114092;114150;114168;114198
FutbolAvanzado;21955;22005;22081;22137;22174
NBA;27295012;27298003;27300587;27302770;27304532
LaLiga;3448107;3450130;3452203;3454058;3455800
AnalyseSport;8565;8564;8566;8570;8569
Olympics;5961572;5968315;5975404;5979966;5984020
wizard_cfc;14301;14357;14464;14530;14590
ThatGuyTipsterr;7075;7072;7080;7091;7087
