Account;2018-03-29
bonappetit;3235861.0
NatGeoFood;36003.0
TwitterFood;838912.0
Fooddotcom;29.0
newfoodeconomy;6377.0
bflay;2731379.0
RealCarrotFacts;220763.0
NYTFood;1421270.0
CivilEats;92915.0
Seriouseats;811126.0
RealCapnCrunch;41705.0
iowagirleats;15285.0
spoonuniversity;17292.0
foodandwine;6687351.0
epicurious;2806317.0
Newsweek;3427391.0
nytimes;41592411.0
NBCNews;5971001.0
CNN;39914898.0
washingtonpost;12337496.0
BBCWorld;23008962.0
WSJ;15680990.0
FoxNews;17533670.0
ABC;13792443.0
Reuters;19552602.0
el_pais;6604888.0
abc_es;1533352.0
antena3com;1360371.0
noticias_cuatro;805401.0
24h_tve;1269877.0
ecosdelbalon;38806.0
NYT4thDownBot;25852.0
baseballpro;115585.0
FutbolAvanzado;25162.0
NBA;27479764.0
LaLiga;3545596.0
AnalyseSport;8561.0
Olympics;6222654.0
wizard_cfc;16158.0
ThatGuyTipsterr;9028.0
moneyballfutbol;2822.0
Multi_Apuesta;50353.0
AP_Sports;120389.0
sportbible;1299810.0
SportsCenter;35629002.0
livefolk;204.0
travel;6510114.0
NatGeoTravel;6653802.0
TravelLeisure;4031662.0
Earth_Pics;
EarthPix;3093527.0
frugaltraveler;516984.0
nytimestravel;1143951.0
BBC_Travel;985965.0
TelegraphTravel;286429.0
TravelMagazine;2798423.0
CNTraveler;3252567.0
ThatsEarth;1461602.0
chicagoideas;39411.0
ViajaEnElMundo;131860.0
TheBlondeSalad;9979.0
kenzo;326101.0
voguemagazine;13697914.0
BritishVogue;3612151.0
ELLEmagazine;6874436.0
Cosmopolitan;1728388.0
Fashionista_com;2255729.0
WhoWhatWear;2328733.0
TheCut;1431731.0
TimesFashion;2506952.0
ELLEUK;1220804.0
LondonFashionWk;1271503.0
VictoriasSecret;11527667.0
styleinmadrid;28483.0
RevistaInStyle;31149.0
Sephora;2392410.0
CiudadanosCs;466308.0
Bcnisnotcat_;57494.0
AMI__cat;38434.0
TheDemocrats;1434221.0
epp;125304.0
ahorapodemos;1329216.0
CNNPolitics;2649755.0
bpolitics;238089.0
ABCPolitics;692665.0
MSNBC;2060312.0
latimes;3233387.0
thehill;3047630.0
vox_es;73184.0
cope_es;342957.0
OndaCero_es;496983.0
UberFacts;14518258.0
BuzzFeed;6508488.0
SavedYouAClick;260145.0
MoviePass;48226.0
kalesalad;166518.0
cuantocabron;208927.0
ladbible;2054459.0
mental_floss;653444.0
elmundotoday;1176651.0
Cabronazi;254858.0
lavecinarubia;402009.0
pourmecoffee;281233.0
NFL_Memes;441745.0
9GAG;14887383.0
funnyordie;14404114.0
netflix;4858317.0
hbo;1934932.0
FOXTV;1261890.0
SonyPicsTeens;2980615.0
Miramax;427687.0
NBC;1808906.0
La1_tve;536386.0
laSextaTV;899880.0
9gagtv;187055.0
PrimeVideo;374752.0
hulu;534970.0
CBS;980579.0
shows_tv;14345.0
MarvelStudios;835881.0
TwitterMovies;7198458.0
policia;3149210.0
CIA;2296293.0
WhiteHouse;16867201.0
casareal;843164.0
nswpolice;154003.0
guardiacivil;1218214.0
DGTes;203545.0
esa;834244.0
NASA;29048170.0
CERN;2596858.0
EU_Commission;924087.0
UN;10237652.0
EUCouncil;320080.0
ONU_es;964202.0
UNICEF;7202412.0
sockington;1420091.0
Fascinatingpics;6741194.0
shedancestibet;24022.0
A_single_bear;113551.0
BronxZoosCobra;158839.0
MoveTheWorld;118619.0
peta;1062891.0
dodo;799164.0
BuzzFeedAnimals;107359.0
NationalZoo;447521.0
fabulousanimals;
darth;121310.0
EmrgencyKittens;6849559.0
AnimalPlanet;1616981.0
natgeowild;927865.0
TEDTalks;11060143.0
materia_ciencia;729647.0
cienciaplus;400805.0
WIREDScience;2099639.0
ScienceMarchDC;356054.0
sciencemagazine;1131516.0
sciencemuseum;668388.0
aaas;89675.0
NSF;1091686.0
PopSci;1265414.0
scienceworldca;17611.0
rdfrs;81707.0
MarsCuriosity;3939324.0
cienciatmx;23.0
CdeCiencia;57508.0
StockTwits;601083.0
business;4686415.0
1Brokercom;4762.0
LSFinancial;15387.0
TV_TradingIdeas;13909.0
mytradingbuddy;84405.0
HarvardBiz;5384275.0
BabyPips;87910.0
FTTradingRoom;23743.0
TradingNation;17442.0
BigCheds;54874.0
DanielsTrading;6474.0
canuck2usa;43923.0
BourseetTrading;15698.0
mytradingbuddy;84405.0
tradingview;42833.0
LSFinancial;15387.0
TV_TradingIdeas;13909.0
