Account;2018-02-11;2018-02-12;2018-02-13;2018-02-14;2018-02-15;2018-02-16;2018-02-17;2018-02-18;2018-02-19;2018-02-20;2018-02-21;2018-02-22;2018-02-23;2018-02-24;2018-02-25;2018-02-26;2018-02-27;2018-02-28;2018-03-01;2018-03-02;2018-03-03;2018-03-04;2018-03-05;2018-03-06;2018-03-07;2018-03-08;2018-03-09;2018-03-10;2018-03-11;2018-03-12;2018-03-13;2018-03-14;2018-03-15;2018-03-16;2018-03-17;2018-03-18;2018-03-19;2018-03-20;2018-03-21;2018-03-22;2018-03-23;2018-03-24;2018-03-25;2018-03-26;2018-03-27;2018-03-28;2018-03-29;2018-03-30;2018-03-31;2018-04-01;2018-04-02;2018-04-03
bonappetit;3187723;3187464;3187274;3187123;3185897;3185752;3184465;3185259;3186173;3186218;3187426;3188721;3189950;3191547;3192572;3194350;3195492;3196534;3195767;3194720;3195680;3197262;3199012;3200860;3202480;3203813;3205000;3206329;3207768;3209466;3211296.0;3213104.0;3214745.0;3216349.0;3218081.0;3219895.0;3221573.0;3223060.0;3224892.0;3226641.0;3228267.0;3229831.0;3231043.0;3232234.0;3233439.0;3234620.0;3235861.0;3237146.0;3238506.0;3239754.0;3241129.0;3242308.0
NatGeoFood;35330;35345;35358;35365;35370;35387;35389;35398;35410;35414;35438;35457;35475;35479;35491;35501;35526;35538;35549;35570;35598;35628;35640;35658;35679;35704;35717;35733;35741;35774;35794.0;35813.0;35825.0;35836.0;35848.0;35855.0;35877.0;35896.0;35904.0;35917.0;35924.0;35949.0;35959.0;35972.0;35981.0;35995.0;36003.0;36017.0;36019.0;36026.0;36038.0;36062.0
TwitterFood;838066;838115;838170;838213;838226;838229;838269;838229;838159;838130;838204;838263;838261;838307;838339;838379;838409;838449;838461;838510;838539;838578;838613;838633;838657;838608;838401;838326;838373;838410;838422.0;838453.0;838501.0;838534.0;838550.0;838610.0;838653.0;838658.0;838697.0;838744.0;838775.0;838814.0;838802.0;838806.0;838877.0;838893.0;838912.0;838924.0;838960.0;838980.0;839012.0;839050.0
Fooddotcom;27;27;28;28;29;29;29;29;29;29;28;28;28;28;28;29;29;29;28;28;28;28;28;28;28;29;29;29;29;29;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;29.0;29.0;29.0;29.0;29.0;29.0;30.0;30.0
newfoodeconomy;5806;5815;5829;5829;5832;5845;5854;5866;5862;5875;5886;5891;5903;5905;5913;5920;5933;5960;5974;5984;5993;6003;6007;6016;6026;6025;6033;6048;6059;6065;6079.0;6101.0;6118.0;6139.0;6162.0;6180.0;6201.0;6211.0;6233.0;6273.0;6287.0;6295.0;6310.0;6323.0;6338.0;6361.0;6377.0;6390.0;6393.0;6404.0;6410.0;6415.0
bflay;2681626;2682244;2683061;2683958;2684954;2686086;2687043;2687998;2689026;2689922;2691100;2692139;2692731;2693394;2694089;2694797;2695879;2696888;2697182;2697372;2698219;2699314;2700403;2701659;2702735;2703663;2704464;2705357;2706377;2707469;2708665.0;2709901.0;2711027.0;2712032.0;2713226.0;2714488.0;2715616.0;2716700.0;2717906.0;2719379.0;2721131.0;2722780.0;2724675.0;2726545.0;2728640.0;2730166.0;2731379.0;2732478.0;2733596.0;2734753.0;2735927.0;2737011.0
RealCarrotFacts;222427;222389;222356;222337;222309;222292;222256;222226;222164;222107;222076;222047;222005;221966;221937;221896;221868;221848;221819;221810;221771;221730;221695;221662;221619;221584;221526;221478;221445;221397;221367.0;221328.0;221300.0;221255.0;221222.0;221203.0;221157.0;221103.0;221077.0;221029.0;221002.0;220961.0;220930.0;220888.0;220852.0;220810.0;220763.0;220726.0;220699.0;220665.0;220620.0;220564.0
NYTFood;1418944;1418901;1418875;1418864;1418827;1418828;1418760;1418786;1418814;1418798;1418882;1418984;1419033;1419095;1419165;1419234;1419384;1419569;1419628;1419665;1419767;1419809;1419875;1419935;1419982;1419973;1419786;1419754;1419801;1419847;1419914.0;1419999.0;1420078.0;1420107.0;1420182.0;1420266.0;1420344.0;1420407.0;1420456.0;1420518.0;1420586.0;1420671.0;1420775.0;1420903.0;1421082.0;1421153.0;1421270.0;1421349.0;1421431.0;1421508.0;1421583.0;1421680.0
CivilEats;91724;91770;91831;91865;91869;91888;91913;91926;91934;91957;91993;92030;92054;92072;92094;92111;92145;92195;92241;92257;92279;92314;92354;92377;92410;92392;92347;92350;92386;92398;92443.0;92495.0;92533.0;92559.0;92587.0;92613.0;92639.0;92673.0;92714.0;92734.0;92741.0;92767.0;92787.0;92809.0;92867.0;92883.0;92915.0;92931.0;92949.0;92965.0;93002.0;93039.0
Seriouseats;802264;802454;802726;802787;802835;802907;802860;802961;803065;803139;803293;803438;803563;803718;803874;804056;804195;804420;804410;804402;804583;804675;804742;804814;804856;804857;804750;804859;804997;805198;805575.0;805979.0;806120.0;806228.0;806362.0;806503.0;806596.0;806733.0;806872.0;807190.0;808091.0;808737.0;809165.0;809650.0;810182.0;810585.0;811126.0;811516.0;811828.0;812618.0;813115.0;813502.0
